weapon	ethnicity	stimulus_number	weapon_levels	ethnicity_levels	image	image_bg	expected_response
1	1	8	armed	arab	8d.jpg	8.jpg	LeftArrow
1	1	10	armed	arab	10d.jpg	10.jpg	LeftArrow
1	0	6	armed	caucasian	6b.jpg	6.jpg	LeftArrow
1	0	9	armed	caucasian	9b.jpg	9.jpg	LeftArrow
0	1	9	unarmed	arab	9c.jpg	9.jpg	RightArrow
1	0	2	armed	caucasian	2b.jpg	2.jpg	LeftArrow
0	1	14	unarmed	arab	14c.jpg	14.jpg	RightArrow
0	1	1	unarmed	arab	1c.jpg	1.jpg	RightArrow
1	1	17	armed	arab	17d.jpg	17.jpg	LeftArrow
1	1	4	armed	arab	4d.jpg	4.jpg	LeftArrow
0	0	18	unarmed	caucasian	18a.jpg	18.jpg	RightArrow
0	1	3	unarmed	arab	3c.jpg	3.jpg	RightArrow
1	0	14	armed	caucasian	14b.jpg	14.jpg	LeftArrow
1	0	8	armed	caucasian	8b.jpg	8.jpg	LeftArrow
0	0	12	unarmed	caucasian	12a.jpg	12.jpg	RightArrow
0	0	20	unarmed	caucasian	20a.jpg	20.jpg	RightArrow
1	1	15	armed	arab	15d.jpg	15.jpg	LeftArrow
1	0	19	armed	caucasian	19b.jpg	19.jpg	LeftArrow
1	0	20	armed	caucasian	20b.jpg	20.jpg	LeftArrow
1	1	18	armed	arab	18d.jpg	18.jpg	LeftArrow
1	0	16	armed	caucasian	16b.jpg	16.jpg	LeftArrow
1	0	18	armed	caucasian	18b.jpg	18.jpg	LeftArrow
0	1	13	unarmed	arab	13c.jpg	13.jpg	RightArrow
0	0	9	unarmed	caucasian	9a.jpg	9.jpg	RightArrow
0	1	2	unarmed	arab	2c.jpg	2.jpg	RightArrow
1	0	10	armed	caucasian	10b.jpg	10.jpg	LeftArrow
1	0	15	armed	caucasian	15b.jpg	15.jpg	LeftArrow
1	1	19	armed	arab	19d.jpg	19.jpg	LeftArrow
1	0	11	armed	caucasian	11b.jpg	11.jpg	LeftArrow
1	1	7	armed	arab	7d.jpg	7.jpg	LeftArrow
0	0	5	unarmed	caucasian	5a.jpg	5.jpg	RightArrow
0	0	11	unarmed	caucasian	11a.jpg	11.jpg	RightArrow
0	1	12	unarmed	arab	12c.jpg	12.jpg	RightArrow
1	1	20	armed	arab	20d.jpg	20.jpg	LeftArrow
1	0	4	armed	caucasian	4b.jpg	4.jpg	LeftArrow
1	0	12	armed	caucasian	12b.jpg	12.jpg	LeftArrow
1	1	14	armed	arab	14d.jpg	14.jpg	LeftArrow
0	1	16	unarmed	arab	16c.jpg	16.jpg	RightArrow
1	1	2	armed	arab	2d.jpg	2.jpg	LeftArrow
0	1	17	unarmed	arab	17c.jpg	17.jpg	RightArrow
0	1	15	unarmed	arab	15c.jpg	15.jpg	RightArrow
0	1	20	unarmed	arab	20c.jpg	20.jpg	RightArrow
0	0	2	unarmed	caucasian	2a.jpg	2.jpg	RightArrow
1	1	12	armed	arab	12d.jpg	12.jpg	LeftArrow
0	0	14	unarmed	caucasian	14a.jpg	14.jpg	RightArrow
0	0	8	unarmed	caucasian	8a.jpg	8.jpg	RightArrow
0	0	6	unarmed	caucasian	6a.jpg	6.jpg	RightArrow
0	0	7	unarmed	caucasian	7a.jpg	7.jpg	RightArrow
1	1	13	armed	arab	13d.jpg	13.jpg	LeftArrow
0	0	10	unarmed	caucasian	10a.jpg	10.jpg	RightArrow
1	1	16	armed	arab	16d.jpg	16.jpg	LeftArrow
0	1	8	unarmed	arab	8c.jpg	8.jpg	RightArrow
0	0	13	unarmed	caucasian	13a.jpg	13.jpg	RightArrow
0	1	7	unarmed	arab	7c.jpg	7.jpg	RightArrow
0	0	16	unarmed	caucasian	16a.jpg	16.jpg	RightArrow
1	0	13	armed	caucasian	13b.jpg	13.jpg	LeftArrow
1	0	7	armed	caucasian	7b.jpg	7.jpg	LeftArrow
0	1	11	unarmed	arab	11c.jpg	11.jpg	RightArrow
0	1	5	unarmed	arab	5c.jpg	5.jpg	RightArrow
1	1	11	armed	arab	11d.jpg	11.jpg	LeftArrow
0	1	4	unarmed	arab	4c.jpg	4.jpg	RightArrow
0	0	19	unarmed	caucasian	19a.jpg	19.jpg	RightArrow
0	0	1	unarmed	caucasian	1a.jpg	1.jpg	RightArrow
1	1	9	armed	arab	9d.jpg	9.jpg	LeftArrow
0	1	18	unarmed	arab	18c.jpg	18.jpg	RightArrow
0	1	6	unarmed	arab	6c.jpg	6.jpg	RightArrow
0	0	17	unarmed	caucasian	17a.jpg	17.jpg	RightArrow
1	0	1	armed	caucasian	1b.jpg	1.jpg	LeftArrow
1	1	1	armed	arab	1d.jpg	1.jpg	LeftArrow
1	0	5	armed	caucasian	5b.jpg	5.jpg	LeftArrow
0	1	19	unarmed	arab	19c.jpg	19.jpg	RightArrow
1	1	6	armed	arab	6d.jpg	6.jpg	LeftArrow
0	1	10	unarmed	arab	10c.jpg	10.jpg	RightArrow
0	0	4	unarmed	caucasian	4a.jpg	4.jpg	RightArrow
0	0	3	unarmed	caucasian	3a.jpg	3.jpg	RightArrow
1	0	17	armed	caucasian	17b.jpg	17.jpg	LeftArrow
1	1	5	armed	arab	5d.jpg	5.jpg	LeftArrow
0	0	15	unarmed	caucasian	15a.jpg	15.jpg	RightArrow
1	0	3	armed	caucasian	3b.jpg	3.jpg	LeftArrow
1	1	3	armed	arab	3d.jpg	3.jpg	LeftArrow
